category,name,material/finish,body,approx_hex,price_from,url
Faceplate,Black,metal/metal,,#141414,16.99,https://eoe.works/search?q=Black+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Charcoal Gray,metal/metal,,#3a3a3c,16.99,https://eoe.works/search?q=Charcoal+Gray+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Silver,metal/metal,,#c9c9cc,16.99,https://eoe.works/search?q=Silver+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Pebble Grey,metal/metal,,#9a9793,23.99,https://eoe.works/search?q=Pebble+Grey+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,White Matte,metal/matte,,#f2f2f0,23.99,https://eoe.works/search?q=White+Matte+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Red,metal/metal,,#c8102e,21.99,https://eoe.works/search?q=Red+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Rose Gold Pink,metal/metal,,#d9a08f,23.99,https://eoe.works/search?q=Rose+Gold+Pink+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Starlight,metal/metal,,#e8e2d6,23.99,https://eoe.works/search?q=Starlight+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Fairy Pink Matte,metal/matte,,#f0b9c8,23.99,https://eoe.works/search?q=Fairy+Pink+Matte+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Cosmic Orange,metal/metal,,#ff6a13,23.99,https://eoe.works/search?q=Cosmic+Orange+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Terracotta Orange,metal/metal,,#c4623a,23.99,https://eoe.works/search?q=Terracotta+Orange+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Bronze,metal/metal,,#8c6a3f,23.99,https://eoe.works/search?q=Bronze+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Gold,metal/metal,,#d4af37,21.99,https://eoe.works/search?q=Gold+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Champagne Gold,metal/metal,,#e6d3a3,21.99,https://eoe.works/search?q=Champagne+Gold+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Yellow,metal/metal,,#f5c400,23.99,https://eoe.works/search?q=Yellow+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Lime Green,metal/metal,,#9ccc2e,23.99,https://eoe.works/search?q=Lime+Green+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Green,metal/metal,,#2e8b3d,23.99,https://eoe.works/search?q=Green+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Jungle Green,metal/metal,,#1f5e3a,23.99,https://eoe.works/search?q=Jungle+Green+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Natural Green,metal/metal,,#6f8f5a,24.99,https://eoe.works/search?q=Natural+Green+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Teal Green,metal/metal,,#1f8a8a,19.99,https://eoe.works/search?q=Teal+Green+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Mint Green,metal/metal,,#a8e6c1,23.99,https://eoe.works/search?q=Mint+Green+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Arctic Blue,metal/metal,,#bfe3f2,23.99,https://eoe.works/search?q=Arctic+Blue+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Sky Blue,metal/metal,,#7fbfe8,23.99,https://eoe.works/search?q=Sky+Blue+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Matte Baby Blue,metal/matte,,#a9c9e8,23.99,https://eoe.works/search?q=Matte+Baby+Blue+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Periwinkle Blue,metal/metal,,#8a9be6,23.99,https://eoe.works/search?q=Periwinkle+Blue+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Blue,metal/metal,,#1e5bd6,23.99,https://eoe.works/search?q=Blue+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Sapphire Blue,metal/metal,,#0f3d91,23.99,https://eoe.works/search?q=Sapphire+Blue+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Purple,metal/metal,,#6a3fb5,23.99,https://eoe.works/search?q=Purple+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Midnight Purple,metal/metal,,#3a2159,23.99,https://eoe.works/search?q=Midnight+Purple+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Hot Pink,metal/metal,,#ff3f9a,23.99,https://eoe.works/search?q=Hot+Pink+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Light Pink,metal/metal,,#f7c6d9,23.99,https://eoe.works/search?q=Light+Pink+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Earth Brown,metal/metal,,#5c4033,23.99,https://eoe.works/search?q=Earth+Brown+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Gradient Green & Red,metal/gradient,,#2e8b3d->#c8102e,19.99,https://eoe.works/search?q=Gradient+Green+%26+Red+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Gradient Pink & Blue,metal/gradient,,#ff6fb5->#3b82f6,19.99,https://eoe.works/search?q=Gradient+Pink+%26+Blue+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Black,plastic/plastic,,#141414,23.99,https://eoe.works/search?q=Black+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Light Grey,plastic/plastic,,#c7c7c7,23.99,https://eoe.works/search?q=Light+Grey+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,White,plastic/plastic,,#f5f5f5,23.99,https://eoe.works/search?q=White+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Sand Dune,plastic/plastic,,#d8c3a5,23.99,https://eoe.works/search?q=Sand+Dune+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Red,plastic/plastic,,#d32f2f,23.99,https://eoe.works/search?q=Red+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Orange,plastic/plastic,,#f57c00,23.99,https://eoe.works/search?q=Orange+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Yellow,plastic/plastic,,#fbc02d,23.99,https://eoe.works/search?q=Yellow+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Green,plastic/plastic,,#43a047,23.99,https://eoe.works/search?q=Green+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Light Blue,plastic/plastic,,#81d4fa,23.99,https://eoe.works/search?q=Light+Blue+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Blue,plastic/plastic,,#1e88e5,23.99,https://eoe.works/search?q=Blue+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Electric Blue,plastic/plastic,,#0057ff,23.99,https://eoe.works/search?q=Electric+Blue+Faceplate+iPod+Classic+6th+7th+A1238
